ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3679809452;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7192685;-95.346942;[]
N3679809457;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193202;-95.3465074;[]
N3679809458;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193398;-95.3471462;[]
N3679809459;3119079;2015-08-04T06:08:46Z;true;1;33088193;29.7193401;-95.3466757;[]
N152141712;147510;2010-01-04T13:30:06Z;true;2;3536893;29.729289;-95.358951;[]
N152141716;147510;2010-01-04T13:30:06Z;true;2;3536893;29.729103;-95.358348;[]
N3679541407;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212369;-95.3451619;[]
N3679541408;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.72124;-95.3466354;[]
N2666095637;3119079;2015-08-06T18:00:58Z;true;3;33161645;29.7189594;-95.3529422;[]
N3679541409;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212427;-95.3469604;[]
N2666095639;3119079;2015-10-12T06:00:20Z;true;2;34582969;29.7194648;-95.3620707;[]
N3679541403;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212212;-95.3467448;[]
N3679541404;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212231;-95.34367;[]
N3679541405;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212254;-95.3459195;[]
N3679541406;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.721226;-95.3474171;[]
N152141719;147510;2010-01-04T13:30:06Z;true;2;3536893;29.72886;-95.357563;[]
N3679541400;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212068;-95.3431296;[]
N3679541401;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.721216;-95.339851;[]
N3679541402;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212202;-95.3380028;[]
N2666095631;496606;2014-02-10T22:40:24Z;true;1;20494595;29.7177195;-95.353959;[]
N2666095630;496606;2014-02-10T22:40:24Z;true;1;20494595;29.7176137;-95.3536272;[]
N3679541418;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212675;-95.3381576;[]
N2666095627;3119079;2015-10-12T06:00:20Z;true;2;34582969;29.7190546;-95.360713;[]
N3679541419;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212721;-95.3396682;[]
N3679541416;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.721261;-95.339573;[]
N3679541417;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212666;-95.3435255;[]
N3679541414;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212588;-95.3397515;[]
N3679541415;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212601;-95.340083;[]
N3679541413;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212585;-95.340196;[]
N3679541410;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.721252;-95.3454824;[]
N3679541411;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212542;-95.3376117;[]
N3679541420;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212797;-95.3466775;[]
N3679541421;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212918;-95.3400538;[]
N3679541422;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212922;-95.3471518;[]
N3679541423;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212941;-95.3453497;[]
N3679541424;3119079;2015-08-03T22:16:37Z;true;1;33084494;29.7212945;-95.3426414;[]
N2666095651;496606;2014-02-10T22:40:24Z;true;1;20494595;29.7174339;-95.3536241;[]
N2666095648;496606;2014-02-10T22:40:24Z;true;1;20494595;29.7174516;-95.3536785;[]
N3370398771;703517;2015-02-24T16:02:03Z;true;1;29070350;29.7259368;-95.3412527;[]
N3370398770;703517;2015-02-24T16:02:03Z;true;1;29070350;29.7265002;-95.3430691;[]
N3683339968;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7209327;-95.3493046;[]
N3370398769;703517;2015-02-24T16:02:03Z;true;1;29070350;29.7267004;-95.3436839;[]
N3683339974;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7210532;-95.3516168;[]
N3683339975;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7210576;-95.3516372;[]
N3683339978;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7211648;-95.3520819;[]
N3683339971;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7210016;-95.3545284;[]
N3683339986;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7212306;-95.3553196;[]
N3683339987;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7212417;-95.352127;[]
N3683339982;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7212119;-95.3520837;[]
N4229981389;3572302;2016-06-07T10:02:41Z;true;1;39857352;29.7263545;-95.3381666;[]
N3683339994;3119079;2015-08-06T06:24:22Z;true;1;33146410;29.7213013;-95.3523059;[]
N151556653;147510;2010-01-07T19:11:14Z;true;2;3564276;29.72108;-95.334095;[]
N4229981390;3572302;2016-06-07T10:02:41Z;true;1;39857352;29.7265897;-95.3377745;[]
N4229981392;3572302;2016-06-07T10:02:41Z;true;1;39857352;29.7322807;-95.3485295;[]
